"sale_id","prefix_length","previous_products","answer_product_ids"
"4612","5","[217,127,269,130,204]","[323,304,299,272,66]"
"4612","6","[217,127,269,130,204,323]","[304,299,272,66]"
"4612","7","[217,127,269,130,204,323,304]","[299,272,66]"
"4612","8","[217,127,269,130,204,323,304,299]","[272,66]"
"4612","9","[217,127,269,130,204,323,304,299,272]","[66]"
"4613","1","[62]","[112,116]"
"4613","2","[62,112]","[116]"
"4614","1","[15]","[228,200,171,169,203,144]"
"4614","2","[15,228]","[200,171,169,203,144]"
"4614","3","[15,228,200]","[171,169,203,144]"
"4614","4","[15,228,200,171]","[169,203,144]"
"4614","5","[15,228,200,171,169]","[203,144]"
"4614","6","[15,228,200,171,169,203]","[144]"
"4615","1","[144]","[322,111,246,128,173]"
"4615","2","[144,322]","[111,246,128,173]"
"4615","3","[144,322,111]","[246,128,173]"
"4615","4","[144,322,111,246]","[128,173]"
"4615","5","[144,322,111,246,128]","[173]"
"4616","1","[73]","[76,78,80,71,176]"
"4616","2","[73,76]","[78,80,71,176]"
"4616","3","[73,76,78]","[80,71,176]"
"4616","4","[73,76,78,80]","[71,176]"
"4616","5","[73,76,78,80,71]","[176]"
"4617","1","[256]","[71,327,70]"
"4617","2","[256,71]","[327,70]"
"4617","3","[256,71,327]","[70]"
"4619","1","[78]","[76,12,346]"
"4619","2","[78,76]","[12,346]"
"4619","3","[78,76,12]","[346]"
"4621","1","[295]","[127]"
"4623","1","[331]","[172,274,148,328]"
"4623","2","[331,172]","[274,148,328]"
"4623","3","[331,172,274]","[148,328]"
"4623","4","[331,172,274,148]","[328]"
"4624","1","[331]","[173,144,111,174,86]"
"4624","2","[331,173]","[144,111,174,86]"
"4624","3","[331,173,144]","[111,174,86]"
"4624","4","[331,173,144,111]","[174,86]"
"4624","5","[331,173,144,111,174]","[86]"
"4625","1","[329]","[173]"
"4627","1","[328]","[318,331,277,323,314,63,114]"
"4627","2","[328,318]","[331,277,323,314,63,114]"
"4627","3","[328,318,331]","[277,323,314,63,114]"
"4627","4","[328,318,331,277]","[323,314,63,114]"
"4627","5","[328,318,331,277,323]","[314,63,114]"
"4627","6","[328,318,331,277,323,314]","[63,114]"
"4627","7","[328,318,331,277,323,314,63]","[114]"
"4628","1","[262]","[14,156,217,188,316,62]"
"4628","2","[262,14]","[156,217,188,316,62]"
"4628","3","[262,14,156]","[217,188,316,62]"
"4628","4","[262,14,156,217]","[188,316,62]"
"4628","5","[262,14,156,217,188]","[316,62]"
"4628","6","[262,14,156,217,188,316]","[62]"
"4629","1","[331]","[321,277,198]"
"4629","2","[331,321]","[277,198]"
"4629","3","[331,321,277]","[198]"
"4630","1","[346]","[172,331,263]"
"4630","2","[346,172]","[331,263]"
"4630","3","[346,172,331]","[263]"
"4631","1","[280]","[57,295]"
"4631","2","[280,57]","[295]"
"4635","1","[1]","[15,205,316,128,255,321,246,31,83,81,346,59,112]"
"4635","2","[1,15]","[205,316,128,255,321,246,31,83,81,346,59,112]"
"4635","3","[1,15,205]","[316,128,255,321,246,31,83,81,346,59,112]"
"4635","4","[1,15,205,316]","[128,255,321,246,31,83,81,346,59,112]"
"4635","5","[1,15,205,316,128]","[255,321,246,31,83,81,346,59,112]"
"4635","6","[1,15,205,316,128,255]","[321,246,31,83,81,346,59,112]"
"4635","7","[1,15,205,316,128,255,321]","[246,31,83,81,346,59,112]"
"4635","8","[1,15,205,316,128,255,321,246]","[31,83,81,346,59,112]"
"4635","9","[1,15,205,316,128,255,321,246,31]","[83,81,346,59,112]"
"4635","10","[1,15,205,316,128,255,321,246,31,83]","[81,346,59,112]"
"4635","11","[1,15,205,316,128,255,321,246,31,83,81]","[346,59,112]"
"4635","12","[1,15,205,316,128,255,321,246,31,83,81,346]","[59,112]"
"4635","13","[1,15,205,316,128,255,321,246,31,83,81,346,59]","[112]"
"4636","1","[188]","[1,327,328,123,331,132]"
"4636","2","[188,1]","[327,328,123,331,132]"
"4636","3","[188,1,327]","[328,123,331,132]"
"4636","4","[188,1,327,328]","[123,331,132]"
"4636","5","[188,1,327,328,123]","[331,132]"
"4636","6","[188,1,327,328,123,331]","[132]"
"4637","1","[331]","[266,256]"
"4637","2","[331,266]","[256]"
"4638","1","[4]","[3,6,86,303,272,273,244]"
"4638","2","[4,3]","[6,86,303,272,273,244]"
"4638","3","[4,3,6]","[86,303,272,273,244]"
"4638","4","[4,3,6,86]","[303,272,273,244]"
"4638","5","[4,3,6,86,303]","[272,273,244]"
"4638","6","[4,3,6,86,303,272]","[273,244]"
"4638","7","[4,3,6,86,303,272,273]","[244]"
"4639","1","[277]","[295,172,72,134,4,128,198]"
"4639","2","[277,295]","[172,72,134,4,128,198]"
"4639","3","[277,295,172]","[72,134,4,128,198]"
"4639","4","[277,295,172,72]","[134,4,128,198]"
"4639","5","[277,295,172,72,134]","[4,128,198]"
"4639","6","[277,295,172,72,134,4]","[128,198]"
"4639","7","[277,295,172,72,134,4,128]","[198]"
"4642","1","[188]","[318,334,150,338,286]"
"4642","2","[188,318]","[334,150,338,286]"
"4642","3","[188,318,334]","[150,338,286]"
"4642","4","[188,318,334,150]","[338,286]"
"4642","5","[188,318,334,150,338]","[286]"
"4643","1","[295]","[172,331,64]"
"4643","2","[295,172]","[331,64]"
"4643","3","[295,172,331]","[64]"
"4644","1","[172]","[206,329,110,281,105]"
"4644","2","[172,206]","[329,110,281,105]"
"4644","3","[172,206,329]","[110,281,105]"
"4644","4","[172,206,329,110]","[281,105]"
"4644","5","[172,206,329,110,281]","[105]"
"4645","1","[346]","[173,127,268]"
"4645","2","[346,173]","[127,268]"
"4645","3","[346,173,127]","[268]"
"4646","1","[256]","[329,37,80,112,265]"
"4646","2","[256,329]","[37,80,112,265]"
"4646","3","[256,329,37]","[80,112,265]"
"4646","4","[256,329,37,80]","[112,265]"
"4646","5","[256,329,37,80,112]","[265]"
"4647","1","[184]","[276,71,277,256,285,200,172,227,148,188,207,3,130]"
"4647","2","[184,276]","[71,277,256,285,200,172,227,148,188,207,3,130]"
"4647","3","[184,276,71]","[277,256,285,200,172,227,148,188,207,3,130]"
"4647","4","[184,276,71,277]","[256,285,200,172,227,148,188,207,3,130]"
"4647","5","[184,276,71,277,256]","[285,200,172,227,148,188,207,3,130]"
"4647","6","[184,276,71,277,256,285]","[200,172,227,148,188,207,3,130]"
"4647","7","[184,276,71,277,256,285,200]","[172,227,148,188,207,3,130]"
"4647","8","[184,276,71,277,256,285,200,172]","[227,148,188,207,3,130]"
"4647","9","[184,276,71,277,256,285,200,172,227]","[148,188,207,3,130]"
"4647","10","[184,276,71,277,256,285,200,172,227,148]","[188,207,3,130]"
"4647","11","[184,276,71,277,256,285,200,172,227,148,188]","[207,3,130]"
"4647","12","[184,276,71,277,256,285,200,172,227,148,188,207]","[3,130]"
"4647","13","[184,276,71,277,256,285,200,172,227,148,188,207,3]","[130]"
"4648","1","[316]","[329,269,80,78,75,265]"
"4648","2","[316,329]","[269,80,78,75,265]"
"4648","3","[316,329,269]","[80,78,75,265]"
"4648","4","[316,329,269,80]","[78,75,265]"
"4648","5","[316,329,269,80,78]","[75,265]"
"4648","6","[316,329,269,80,78,75]","[265]"
"4649","1","[2]","[256,331]"
"4649","2","[2,256]","[331]"
"4650","1","[277]","[200,144,275,111,299,77,266,274]"
"4650","2","[277,200]","[144,275,111,299,77,266,274]"
"4650","3","[277,200,144]","[275,111,299,77,266,274]"
"4650","4","[277,200,144,275]","[111,299,77,266,274]"
"4650","5","[277,200,144,275,111]","[299,77,266,274]"
"4650","6","[277,200,144,275,111,299]","[77,266,274]"
"4650","7","[277,200,144,275,111,299,77]","[266,274]"
"4650","8","[277,200,144,275,111,299,77,266]","[274]"
"4654","1","[188]","[328,329,111,236]"
"4654","2","[188,328]","[329,111,236]"
"4654","3","[188,328,329]","[111,236]"
"4654","4","[188,328,329,111]","[236]"
"4655","1","[123]","[269,173,331,228,329,144,4,323]"
"4655","2","[123,269]","[173,331,228,329,144,4,323]"
"4655","3","[123,269,173]","[331,228,329,144,4,323]"
"4655","4","[123,269,173,331]","[228,329,144,4,323]"
"4655","5","[123,269,173,331,228]","[329,144,4,323]"
"4655","6","[123,269,173,331,228,329]","[144,4,323]"
"4655","7","[123,269,173,331,228,329,144]","[4,323]"
"4655","8","[123,269,173,331,228,329,144,4]","[323]"
"4656","1","[274]","[172,240]"
"4656","2","[274,172]","[240]"
"4658","1","[346]","[331,172,75]"
"4658","2","[346,331]","[172,75]"
"4658","3","[346,331,172]","[75]"
"4659","1","[346]","[322,201,128,329,6,305,207,303,196,59,112,82,301,200,327,323]"
"4659","2","[346,322]","[201,128,329,6,305,207,303,196,59,112,82,301,200,327,323]"
"4659","3","[346,322,201]","[128,329,6,305,207,303,196,59,112,82,301,200,327,323]"
"4659","4","[346,322,201,128]","[329,6,305,207,303,196,59,112,82,301,200,327,323]"
"4659","5","[346,322,201,128,329]","[6,305,207,303,196,59,112,82,301,200,327,323]"
"4659","6","[346,322,201,128,329,6]","[305,207,303,196,59,112,82,301,200,327,323]"
"4659","7","[346,322,201,128,329,6,305]","[207,303,196,59,112,82,301,200,327,323]"
"4659","8","[346,322,201,128,329,6,305,207]","[303,196,59,112,82,301,200,327,323]"
"4659","9","[346,322,201,128,329,6,305,207,303]","[196,59,112,82,301,200,327,323]"
"4659","10","[346,322,201,128,329,6,305,207,303,196]","[59,112,82,301,200,327,323]"
"4659","11","[346,322,201,128,329,6,305,207,303,196,59]","[112,82,301,200,327,323]"
"4659","12","[346,322,201,128,329,6,305,207,303,196,59,112]","[82,301,200,327,323]"
"4659","13","[346,322,201,128,329,6,305,207,303,196,59,112,82]","[301,200,327,323]"
"4659","14","[346,322,201,128,329,6,305,207,303,196,59,112,82,301]","[200,327,323]"
"4659","15","[346,322,201,128,329,6,305,207,303,196,59,112,82,301,200]","[327,323]"
"4659","16","[346,322,201,128,329,6,305,207,303,196,59,112,82,301,200,327]","[323]"
"4660","1","[262]","[88]"
"4661","1","[70]","[299,76,75,77,274]"
"4661","2","[70,299]","[76,75,77,274]"
"4661","3","[70,299,76]","[75,77,274]"
"4661","4","[70,299,76,75]","[77,274]"
"4661","5","[70,299,76,75,77]","[274]"
"4662","1","[173]","[3,134,122,80,55]"
"4662","2","[173,3]","[134,122,80,55]"
"4662","3","[173,3,134]","[122,80,55]"
"4662","4","[173,3,134,122]","[80,55]"
"4662","5","[173,3,134,122,80]","[55]"
"4663","1","[313]","[134,173]"
"4663","2","[313,134]","[173]"
"4664","1","[331]","[317,227,270,72,203,299,267,14]"
"4664","2","[331,317]","[227,270,72,203,299,267,14]"
"4664","3","[331,317,227]","[270,72,203,299,267,14]"
"4664","4","[331,317,227,270]","[72,203,299,267,14]"
"4664","5","[331,317,227,270,72]","[203,299,267,14]"
"4664","6","[331,317,227,270,72,203]","[299,267,14]"
"4664","7","[331,317,227,270,72,203,299]","[267,14]"
"4664","8","[331,317,227,270,72,203,299,267]","[14]"
"4665","1","[78]","[75]"
"4667","1","[36]","[37,176]"
"4667","2","[36,37]","[176]"
"4668","1","[201]","[327,128,313,172,331,316,269,111]"
"4668","2","[201,327]","[128,313,172,331,316,269,111]"
"4668","3","[201,327,128]","[313,172,331,316,269,111]"
"4668","4","[201,327,128,313]","[172,331,316,269,111]"
"4668","5","[201,327,128,313,172]","[331,316,269,111]"
"4668","6","[201,327,128,313,172,331]","[316,269,111]"
"4668","7","[201,327,128,313,172,331,316]","[269,111]"
"4668","8","[201,327,128,313,172,331,316,269]","[111]"
"4669","1","[111]","[275,203]"
"4669","2","[111,275]","[203]"
"4672","1","[313]","[299,78,75,282,331,173,111]"
"4672","2","[313,299]","[78,75,282,331,173,111]"
"4672","3","[313,299,78]","[75,282,331,173,111]"
"4672","4","[313,299,78,75]","[282,331,173,111]"
"4672","5","[313,299,78,75,282]","[331,173,111]"
"4672","6","[313,299,78,75,282,331]","[173,111]"
"4672","7","[313,299,78,75,282,331,173]","[111]"
"4673","1","[1]","[75,76,77,295,281,72]"
"4673","2","[1,75]","[76,77,295,281,72]"
"4673","3","[1,75,76]","[77,295,281,72]"
"4673","4","[1,75,76,77]","[295,281,72]"
"4673","5","[1,75,76,77,295]","[281,72]"
"4673","6","[1,75,76,77,295,281]","[72]"
"4674","1","[62]","[227,217,172,173,286,111]"
"4674","2","[62,227]","[217,172,173,286,111]"
"4674","3","[62,227,217]","[172,173,286,111]"
"4674","4","[62,227,217,172]","[173,286,111]"
"4674","5","[62,227,217,172,173]","[286,111]"
"4674","6","[62,227,217,172,173,286]","[111]"
"4675","1","[12]","[75,78,76,64,317,331]"
"4675","2","[12,75]","[78,76,64,317,331]"
"4675","3","[12,75,78]","[76,64,317,331]"
"4675","4","[12,75,78,76]","[64,317,331]"
"4675","5","[12,75,78,76,64]","[317,331]"
"4675","6","[12,75,78,76,64,317]","[331]"
"4676","1","[331]","[172,280]"
"4676","2","[331,172]","[280]"
"4677","1","[231]","[62,281,173,301,33,111,15,127]"
"4677","2","[231,62]","[281,173,301,33,111,15,127]"
"4677","3","[231,62,281]","[173,301,33,111,15,127]"
"4677","4","[231,62,281,173]","[301,33,111,15,127]"
"4677","5","[231,62,281,173,301]","[33,111,15,127]"
"4677","6","[231,62,281,173,301,33]","[111,15,127]"
"4677","7","[231,62,281,173,301,33,111]","[15,127]"
"4677","8","[231,62,281,173,301,33,111,15]","[127]"
"4678","1","[127]","[6,75,78,123,200,14,15,346]"
"4678","2","[127,6]","[75,78,123,200,14,15,346]"
"4678","3","[127,6,75]","[78,123,200,14,15,346]"
"4678","4","[127,6,75,78]","[123,200,14,15,346]"
"4678","5","[127,6,75,78,123]","[200,14,15,346]"
"4678","6","[127,6,75,78,123,200]","[14,15,346]"
"4678","7","[127,6,75,78,123,200,14]","[15,346]"
"4678","8","[127,6,75,78,123,200,14,15]","[346]"
"4679","1","[62]","[11,12]"
"4679","2","[62,11]","[12]"
"4681","1","[346]","[172,111,277,302,127]"
"4681","2","[346,172]","[111,277,302,127]"
"4681","3","[346,172,111]","[277,302,127]"
"4681","4","[346,172,111,277]","[302,127]"
"4681","5","[346,172,111,277,302]","[127]"
"4682","1","[346]","[313,322,71,86]"
"4682","2","[346,313]","[322,71,86]"
"4682","3","[346,313,322]","[71,86]"
"4682","4","[346,313,322,71]","[86]"
"4683","1","[232]","[327,331,3,6,14,31,346]"
"4683","2","[232,327]","[331,3,6,14,31,346]"
"4683","3","[232,327,331]","[3,6,14,31,346]"
"4683","4","[232,327,331,3]","[6,14,31,346]"
"4683","5","[232,327,331,3,6]","[14,31,346]"
"4683","6","[232,327,331,3,6,14]","[31,346]"
"4683","7","[232,327,331,3,6,14,31]","[346]"
"4685","1","[331]","[337,329,286]"
"4685","2","[331,337]","[329,286]"
"4685","3","[331,337,329]","[286]"
"4687","1","[272]","[277,273,299,265,239,301]"
"4687","2","[272,277]","[273,299,265,239,301]"
"4687","3","[272,277,273]","[299,265,239,301]"
"4687","4","[272,277,273,299]","[265,239,301]"
"4687","5","[272,277,273,299,265]","[239,301]"
"4687","6","[272,277,273,299,265,239]","[301]"
"4688","1","[331]","[172,130]"
"4688","2","[331,172]","[130]"
"4690","1","[346]","[188]"
"4691","1","[250]","[331,295]"
"4691","2","[250,331]","[295]"
"4692","1","[248]","[75]"
"4693","1","[105]","[172,316,331,277,173,111,282,295,227,228]"
"4693","2","[105,172]","[316,331,277,173,111,282,295,227,228]"
"4693","3","[105,172,316]","[331,277,173,111,282,295,227,228]"
"4693","4","[105,172,316,331]","[277,173,111,282,295,227,228]"
"4693","5","[105,172,316,331,277]","[173,111,282,295,227,228]"
"4693","6","[105,172,316,331,277,173]","[111,282,295,227,228]"
"4693","7","[105,172,316,331,277,173,111]","[282,295,227,228]"
"4693","8","[105,172,316,331,277,173,111,282]","[295,227,228]"
"4693","9","[105,172,316,331,277,173,111,282,295]","[227,228]"
"4693","10","[105,172,316,331,277,173,111,282,295,227]","[228]"
"4694","1","[331]","[281,172,130,173,296]"
"4694","2","[331,281]","[172,130,173,296]"
"4694","3","[331,281,172]","[130,173,296]"
"4694","4","[331,281,172,130]","[173,296]"
"4694","5","[331,281,172,130,173]","[296]"
"4695","1","[14]","[331]"
"4696","1","[156]","[155,80,73,277,299]"
"4696","2","[156,155]","[80,73,277,299]"
"4696","3","[156,155,80]","[73,277,299]"
"4696","4","[156,155,80,73]","[277,299]"
"4696","5","[156,155,80,73,277]","[299]"
"4697","1","[75]","[76,78,273,190]"
"4697","2","[75,76]","[78,273,190]"
"4697","3","[75,76,78]","[273,190]"
"4697","4","[75,76,78,273]","[190]"
"4698","1","[172]","[331]"
"4699","1","[111]","[172,206,346]"
"4699","2","[111,172]","[206,346]"
"4699","3","[111,172,206]","[346]"
"4700","1","[346]","[121,123,331,277,173,272,14]"
"4700","2","[346,121]","[123,331,277,173,272,14]"
"4700","3","[346,121,123]","[331,277,173,272,14]"
"4700","4","[346,121,123,331]","[277,173,272,14]"
"4700","5","[346,121,123,331,277]","[173,272,14]"
"4700","6","[346,121,123,331,277,173]","[272,14]"
"4700","7","[346,121,123,331,277,173,272]","[14]"
"4703","1","[80]","[55,56,187,144]"
"4703","2","[80,55]","[56,187,144]"
"4703","3","[80,55,56]","[187,144]"
"4703","4","[80,55,56,187]","[144]"
"4704","1","[134]","[286,169,111]"
"4704","2","[134,286]","[169,111]"
"4704","3","[134,286,169]","[111]"
"4706","1","[169]","[346]"
"4707","1","[227]","[188,331,268,295,128,329,321,156]"
"4707","2","[227,188]","[331,268,295,128,329,321,156]"
"4707","3","[227,188,331]","[268,295,128,329,321,156]"
"4707","4","[227,188,331,268]","[295,128,329,321,156]"
"4707","5","[227,188,331,268,295]","[128,329,321,156]"
"4707","6","[227,188,331,268,295,128]","[329,321,156]"
"4707","7","[227,188,331,268,295,128,329]","[321,156]"
"4707","8","[227,188,331,268,295,128,329,321]","[156]"
"4708","1","[188]","[172,206,304,207]"
"4708","2","[188,172]","[206,304,207]"
"4708","3","[188,172,206]","[304,207]"
"4708","4","[188,172,206,304]","[207]"
"4710","1","[295]","[304,331]"
"4710","2","[295,304]","[331]"
"4712","1","[111]","[134,322,204]"
"4712","2","[111,134]","[322,204]"
"4712","3","[111,134,322]","[204]"
"4713","1","[203]","[248,67,296,280,286,227,269,76,297,184,244,275,127,116,188]"
"4713","2","[203,248]","[67,296,280,286,227,269,76,297,184,244,275,127,116,188]"
"4713","3","[203,248,67]","[296,280,286,227,269,76,297,184,244,275,127,116,188]"
"4713","4","[203,248,67,296]","[280,286,227,269,76,297,184,244,275,127,116,188]"
"4713","5","[203,248,67,296,280]","[286,227,269,76,297,184,244,275,127,116,188]"
"4713","6","[203,248,67,296,280,286]","[227,269,76,297,184,244,275,127,116,188]"
"4713","7","[203,248,67,296,280,286,227]","[269,76,297,184,244,275,127,116,188]"
"4713","8","[203,248,67,296,280,286,227,269]","[76,297,184,244,275,127,116,188]"
"4713","9","[203,248,67,296,280,286,227,269,76]","[297,184,244,275,127,116,188]"
"4713","10","[203,248,67,296,280,286,227,269,76,297]","[184,244,275,127,116,188]"
"4713","11","[203,248,67,296,280,286,227,269,76,297,184]","[244,275,127,116,188]"
"4713","12","[203,248,67,296,280,286,227,269,76,297,184,244]","[275,127,116,188]"
"4713","13","[203,248,67,296,280,286,227,269,76,297,184,244,275]","[127,116,188]"
"4713","14","[203,248,67,296,280,286,227,269,76,297,184,244,275,127]","[116,188]"
"4713","15","[203,248,67,296,280,286,227,269,76,297,184,244,275,127,116]","[188]"
"4714","1","[173]","[346,286,267,286,67,318,148,150]"
"4714","2","[173,346]","[286,267,286,67,318,148,150]"
"4714","3","[173,346,286]","[267,286,67,318,148,150]"
"4714","4","[173,346,286,267]","[286,67,318,148,150]"
"4714","5","[173,346,286,267,286]","[67,318,148,150]"
"4714","6","[173,346,286,267,286,67]","[318,148,150]"
"4714","7","[173,346,286,267,286,67,318]","[148,150]"
"4714","8","[173,346,286,267,286,67,318,148]","[150]"
"4715","1","[78]","[238,62,281,331,280,198,128]"
"4715","2","[78,238]","[62,281,331,280,198,128]"
"4715","3","[78,238,62]","[281,331,280,198,128]"
"4715","4","[78,238,62,281]","[331,280,198,128]"
"4715","5","[78,238,62,281,331]","[280,198,128]"
"4715","6","[78,238,62,281,331,280]","[198,128]"
"4715","7","[78,238,62,281,331,280,198]","[128]"
"4716","1","[111]","[200,5,3,127]"
"4716","2","[111,200]","[5,3,127]"
"4716","3","[111,200,5]","[3,127]"
"4716","4","[111,200,5,3]","[127]"
"4717","1","[270]","[254,239,277,188,134,4,320,246,177,295]"
"4717","2","[270,254]","[239,277,188,134,4,320,246,177,295]"
"4717","3","[270,254,239]","[277,188,134,4,320,246,177,295]"
"4717","4","[270,254,239,277]","[188,134,4,320,246,177,295]"
"4717","5","[270,254,239,277,188]","[134,4,320,246,177,295]"
"4717","6","[270,254,239,277,188,134]","[4,320,246,177,295]"
"4717","7","[270,254,239,277,188,134,4]","[320,246,177,295]"
"4717","8","[270,254,239,277,188,134,4,320]","[246,177,295]"
"4717","9","[270,254,239,277,188,134,4,320,246]","[177,295]"
"4717","10","[270,254,239,277,188,134,4,320,246,177]","[295]"
"4718","1","[134]","[256]"
"4719","1","[173]","[331,280,296]"
"4719","2","[173,331]","[280,296]"
"4719","3","[173,331,280]","[296]"
"4720","1","[111]","[228]"
"4721","1","[265]","[78,227,173,280,233,238,274,140,37,57,56,111,9,144]"
"4721","2","[265,78]","[227,173,280,233,238,274,140,37,57,56,111,9,144]"
"4721","3","[265,78,227]","[173,280,233,238,274,140,37,57,56,111,9,144]"
"4721","4","[265,78,227,173]","[280,233,238,274,140,37,57,56,111,9,144]"
"4721","5","[265,78,227,173,280]","[233,238,274,140,37,57,56,111,9,144]"
"4721","6","[265,78,227,173,280,233]","[238,274,140,37,57,56,111,9,144]"
"4721","7","[265,78,227,173,280,233,238]","[274,140,37,57,56,111,9,144]"
"4721","8","[265,78,227,173,280,233,238,274]","[140,37,57,56,111,9,144]"
"4721","9","[265,78,227,173,280,233,238,274,140]","[37,57,56,111,9,144]"
"4721","10","[265,78,227,173,280,233,238,274,140,37]","[57,56,111,9,144]"
"4721","11","[265,78,227,173,280,233,238,274,140,37,57]","[56,111,9,144]"
"4721","12","[265,78,227,173,280,233,238,274,140,37,57,56]","[111,9,144]"
"4721","13","[265,78,227,173,280,233,238,274,140,37,57,56,111]","[9,144]"
"4721","14","[265,78,227,173,280,233,238,274,140,37,57,56,111,9]","[144]"
"4722","1","[172]","[173,295]"
"4722","2","[172,173]","[295]"
"4723","1","[76]","[75,80,71,111]"
"4723","2","[76,75]","[80,71,111]"
"4723","3","[76,75,80]","[71,111]"
"4723","4","[76,75,80,71]","[111]"
"4726","1","[286]","[75,71,78]"
"4726","2","[286,75]","[71,78]"
"4726","3","[286,75,71]","[78]"
"4728","1","[279]","[322,114,331,131,275,111]"
"4728","2","[279,322]","[114,331,131,275,111]"
"4728","3","[279,322,114]","[331,131,275,111]"
"4728","4","[279,322,114,331]","[131,275,111]"
"4728","5","[279,322,114,331,131]","[275,111]"
"4728","6","[279,322,114,331,131,275]","[111]"
"4729","1","[304]","[331]"
"4730","1","[173]","[131,188,269,200,256,257,111,282,267,277,313,5,4,314,206]"
"4730","2","[173,131]","[188,269,200,256,257,111,282,267,277,313,5,4,314,206]"
"4730","3","[173,131,188]","[269,200,256,257,111,282,267,277,313,5,4,314,206]"
"4730","4","[173,131,188,269]","[200,256,257,111,282,267,277,313,5,4,314,206]"
"4730","5","[173,131,188,269,200]","[256,257,111,282,267,277,313,5,4,314,206]"
"4730","6","[173,131,188,269,200,256]","[257,111,282,267,277,313,5,4,314,206]"
"4730","7","[173,131,188,269,200,256,257]","[111,282,267,277,313,5,4,314,206]"
"4730","8","[173,131,188,269,200,256,257,111]","[282,267,277,313,5,4,314,206]"
"4730","9","[173,131,188,269,200,256,257,111,282]","[267,277,313,5,4,314,206]"
"4730","10","[173,131,188,269,200,256,257,111,282,267]","[277,313,5,4,314,206]"
"4730","11","[173,131,188,269,200,256,257,111,282,267,277]","[313,5,4,314,206]"
"4730","12","[173,131,188,269,200,256,257,111,282,267,277,313]","[5,4,314,206]"
"4730","13","[173,131,188,269,200,256,257,111,282,267,277,313,5]","[4,314,206]"
"4730","14","[173,131,188,269,200,256,257,111,282,267,277,313,5,4]","[314,206]"
"4730","15","[173,131,188,269,200,256,257,111,282,267,277,313,5,4,314]","[206]"
"4731","1","[331]","[78,112]"
"4731","2","[331,78]","[112]"
"4732","1","[346]","[12,173,331]"
"4732","2","[346,12]","[173,331]"
"4732","3","[346,12,173]","[331]"
"4733","1","[295]","[205,251,11,282,316,173]"
"4733","2","[295,205]","[251,11,282,316,173]"
"4733","3","[295,205,251]","[11,282,316,173]"
"4733","4","[295,205,251,11]","[282,316,173]"
"4733","5","[295,205,251,11,282]","[316,173]"
"4733","6","[295,205,251,11,282,316]","[173]"
"4734","1","[75]","[321,272,244,71,86,4,329,173]"
"4734","2","[75,321]","[272,244,71,86,4,329,173]"
"4734","3","[75,321,272]","[244,71,86,4,329,173]"
"4734","4","[75,321,272,244]","[71,86,4,329,173]"
"4734","5","[75,321,272,244,71]","[86,4,329,173]"
"4734","6","[75,321,272,244,71,86]","[4,329,173]"
"4734","7","[75,321,272,244,71,86,4]","[329,173]"
"4734","8","[75,321,272,244,71,86,4,329]","[173]"
"4735","1","[172]","[329,4]"
"4735","2","[172,329]","[4]"
"4736","1","[266]","[36,111,281,313,112,302,304,301,305,70,346,278,233,318,328,128]"
"4736","2","[266,36]","[111,281,313,112,302,304,301,305,70,346,278,233,318,328,128]"
