product_id,first_available_date,last_available_date,out_of_stock_date
25,2/17/2011,5/30/2012,
31,2/17/2011,12/31/2018,
32,2/18/2011,,12/31/2011
33,2/18/2011,5/30/2019,
38,3/2/2011,1/30/2019,
39,3/2/2011,1/30/2019,
40,3/2/2011,1/30/2019,
41,3/2/2011,1/30/2019,
42,3/2/2011,1/30/2019,
43,3/2/2011,1/30/2019,
44,3/2/2011,,6/30/2012
45,3/2/2011,12/30/2012,
46,3/2/2011,12/30/2018,
47,3/2/2011,12/30/2018,
48,3/2/2011,12/30/2018,
49,3/2/2011,12/30/2018,
51,3/2/2011,,4/2/2011
52,3/2/2011,12/30/2016,
53,3/2/2011,12/30/2012,
58,3/2/2011,10/30/2018,
74,3/21/2011,,6/30/2015
84,4/12/2011,3/30/2012,
85,4/21/2011,3/30/2018,
89,5/5/2011,5/30/2017,
90,5/5/2011,8/30/2013,
91,5/5/2011,7/1/2017,
92,5/5/2011,,12/31/2011
93,5/5/2011,,6/30/2012
94,5/5/2011,,6/30/2012
95,6/13/2011,4/30/2018,
96,6/13/2011,5/30/2017,
97,6/13/2011,,2/1/2018
99,6/18/2011,,3/31/2019
100,6/18/2011,,12/31/2017
101,6/18/2011,12/21/2018,
103,6/18/2011,,6/30/2013
113,8/18/2011,,10/30/2018
115,8/19/2011,,6/30/2015
117,10/7/2011,2/28/2012,
118,10/7/2011,3/15/2012,
119,10/7/2011,,3/30/2012
120,10/7/2011,,3/30/2012
124,10/16/2011,,12/31/2011
125,10/16/2011,,12/31/2011
126,10/24/2011,,6/30/2017
130,11/18/2011,12/31/2018,
131,11/18/2011,,12/31/2018
133,12/12/2011,,12/31/2011
135,12/12/2011,,12/31/2011
136,12/12/2011,,12/31/2011
137,12/12/2011,,12/31/2011
138,12/12/2011,,12/31/2011
139,12/12/2011,,12/31/2011
141,1/23/2012,,2/1/2016
142,1/23/2012,,3/1/2012
145,2/28/2012,,6/30/2017
149,9/6/2012,,1/15/2013
151,5/25/2013,,6/30/2017
152,5/25/2013,,6/30/2016
157,5/30/2013,,6/30/2017
158,5/30/2013,,11/30/2018
161,6/14/2013,,6/30/2014
162,6/14/2013,,12/31/2017
163,6/14/2013,,12/31/2017
168,8/19/2013,10/30/2017,
170,8/19/2013,,8/30/2017
175,9/10/2013,,12/31/2015
178,9/26/2013,,12/1/2014
179,9/26/2013,,12/1/2014
180,9/26/2013,12/31/2014,
181,9/26/2013,,12/1/2014
182,9/26/2013,4/30/2016,
183,9/26/2013,,12/1/2014
185,9/26/2013,,9/6/2018
186,10/1/2013,,6/30/2017
187,10/1/2013,12/31/2018,
188,10/1/2013,,12/1/2018
189,10/1/2013,,12/1/2014
191,11/12/2013,,12/31/2016
192,11/12/2013,,12/31/2018
193,11/12/2013,,6/30/2016
195,11/18/2013,,6/30/2016
197,12/7/2013,,12/31/2018
199,12/7/2013,,12/31/2018
202,1/7/2014,,12/31/2017
208,3/4/2014,,7/30/2014
209,4/3/2014,,7/30/2014
210,4/3/2014,,7/30/2014
211,4/3/2014,,7/30/2014
212,4/3/2014,,7/30/2014
214,4/3/2014,,5/1/2019
215,5/1/2014,,12/15/2018
216,5/1/2014,,12/31/2015
218,5/1/2014,,3/30/2017
219,5/1/2014,,3/30/2017
221,5/1/2014,,3/30/2016
222,5/19/2014,,7/22/2016
223,5/28/2014,,7/5/2017
224,12/8/2014,,12/31/2014
234,1/6/2015,12/31/2018,
235,1/6/2015,,9/30/2017
241,4/2/2015,,9/30/2018
243,4/2/2015,,4/1/2015
249,5/16/2015,,7/30/2016
252,8/17/2015,,3/1/2016
253,8/20/2015,,12/30/2018
259,8/27/2015,3/30/2019,
261,8/27/2015,3/30/2019,
271,10/17/2015,,11/1/2018
279,1/5/2016,,12/31/2018
282,2/3/2016,,12/31/2017
284,2/3/2016,,12/31/2017
288,4/29/2016,,4/1/2017
289,5/4/2016,,4/1/2017
290,5/4/2016,,4/1/2017
291,5/4/2016,,4/1/2017
292,5/4/2016,,4/1/2017
293,5/4/2016,,4/23/2018
296,7/1/2016,,2/1/2018
300,9/1/2016,,12/31/2017
306,10/17/2016,,2/1/2018
307,10/17/2016,,2/1/2018
308,10/17/2016,,2/1/2018
309,11/1/2016,,2/1/2018
310,11/1/2016,,2/1/2018
311,11/15/2016,12/31/2018,
312,11/15/2016,,8/1/2018
313,11/15/2016,,2/1/2019
315,1/30/2017,3/30/2019,
319,2/6/2017,,12/31/2018
330,8/9/2017,3/30/2019,
332,8/9/2017,3/30/2019,
333,8/29/2017,,3/1/2018
334,8/29/2017,,3/1/2018
335,8/29/2017,,3/1/2018
336,8/29/2017,,3/1/2018
337,8/29/2017,,3/1/2018
338,8/29/2017,,3/1/2018
339,8/29/2017,,3/1/2018
340,8/29/2017,,3/1/2018
341,10/4/2017,,3/1/2018
342,10/11/2017,3/30/2019,
343,10/11/2017,,11/1/2018
345,10/14/2017,,7/20/2019
351,2/12/2018,,3/1/2018
354,2/23/2018,3/30/2019,
360,3/12/2018,3/30/2019,
361,8/27/2018,4/30/2019,
362,8/27/2018,4/30/2019,
363,9/29/2018,4/30/2019,
364,9/29/2018,4/30/2019,
370,1/1/2019,,4/1/2019
371,1/1/2019,3/15/2019,
373,1/10/2019,1/10/2019,
376,2/2/2019,4/30/2019,
