"sale_id","prefix_length","previous_products","answer_product_ids"
"2282","3","[55,228,269]","[14,281,58,56]"
"2282","4","[55,228,269,14]","[281,58,56]"
"2282","5","[55,228,269,14,281]","[58,56]"
"2282","6","[55,228,269,14,281,58]","[56]"
"2283","1","[14]","[30,109,227,15,174,40,274]"
"2283","2","[14,30]","[109,227,15,174,40,274]"
"2283","3","[14,30,109]","[227,15,174,40,274]"
"2283","4","[14,30,109,227]","[15,174,40,274]"
"2283","5","[14,30,109,227,15]","[174,40,274]"
"2283","6","[14,30,109,227,15,174]","[40,274]"
"2283","7","[14,30,109,227,15,174,40]","[274]"
"2284","1","[123]","[157,144,166,277]"
"2284","2","[123,157]","[144,166,277]"
"2284","3","[123,157,144]","[166,277]"
"2284","4","[123,157,144,166]","[277]"
"2287","1","[156]","[269]"
"2288","1","[111]","[78,238]"
"2288","2","[111,78]","[238]"
"2289","1","[252]","[91,141]"
"2289","2","[252,91]","[141]"
"2290","1","[78]","[269,200]"
"2290","2","[78,269]","[200]"
"2291","1","[265]","[238,144,122,35,76]"
"2291","2","[265,238]","[144,122,35,76]"
"2291","3","[265,238,144]","[122,35,76]"
"2291","4","[265,238,144,122]","[35,76]"
"2291","5","[265,238,144,122,35]","[76]"
"2292","1","[78]","[238,168,275,277,266,196,244,267,30,13]"
"2292","2","[78,238]","[168,275,277,266,196,244,267,30,13]"
"2292","3","[78,238,168]","[275,277,266,196,244,267,30,13]"
"2292","4","[78,238,168,275]","[277,266,196,244,267,30,13]"
"2292","5","[78,238,168,275,277]","[266,196,244,267,30,13]"
"2292","6","[78,238,168,275,277,266]","[196,244,267,30,13]"
"2292","7","[78,238,168,275,277,266,196]","[244,267,30,13]"
"2292","8","[78,238,168,275,277,266,196,244]","[267,30,13]"
"2292","9","[78,238,168,275,277,266,196,244,267]","[30,13]"
"2292","10","[78,238,168,275,277,266,196,244,267,30]","[13]"
"2293","1","[110]","[265]"
"2294","1","[72]","[266,205,269,275,173,131]"
"2294","2","[72,266]","[205,269,275,173,131]"
"2294","3","[72,266,205]","[269,275,173,131]"
"2294","4","[72,266,205,269]","[275,173,131]"
"2294","5","[72,266,205,269,275]","[173,131]"
"2294","6","[72,266,205,269,275,173]","[131]"
"2295","1","[172]","[227,102,114]"
"2295","2","[172,227]","[102,114]"
"2295","3","[172,227,102]","[114]"
"2296","1","[174]","[114,128]"
"2296","2","[174,114]","[128]"
"2298","1","[258]","[257,55,105,177,182,12,267,205]"
"2298","2","[258,257]","[55,105,177,182,12,267,205]"
"2298","3","[258,257,55]","[105,177,182,12,267,205]"
"2298","4","[258,257,55,105]","[177,182,12,267,205]"
"2298","5","[258,257,55,105,177]","[182,12,267,205]"
"2298","6","[258,257,55,105,177,182]","[12,267,205]"
"2298","7","[258,257,55,105,177,182,12]","[267,205]"
"2298","8","[258,257,55,105,177,182,12,267]","[205]"
"2299","1","[251]","[232,274,12,246]"
"2299","2","[251,232]","[274,12,246]"
"2299","3","[251,232,274]","[12,246]"
"2299","4","[251,232,274,12]","[246]"
"2300","1","[277]","[238,78,36,155]"
"2300","2","[277,238]","[78,36,155]"
"2300","3","[277,238,78]","[36,155]"
"2300","4","[277,238,78,36]","[155]"
"2301","1","[36]","[35,258,88]"
"2301","2","[36,35]","[258,88]"
"2301","3","[36,35,258]","[88]"
"2305","1","[30]","[267,15,258,278,251,217,109]"
"2305","2","[30,267]","[15,258,278,251,217,109]"
"2305","3","[30,267,15]","[258,278,251,217,109]"
"2305","4","[30,267,15,258]","[278,251,217,109]"
"2305","5","[30,267,15,258,278]","[251,217,109]"
"2305","6","[30,267,15,258,278,251]","[217,109]"
"2305","7","[30,267,15,258,278,251,217]","[109]"
"2306","1","[237]","[233]"
"2307","1","[230]","[129,246,265,267,279,116,205,109]"
"2307","2","[230,129]","[246,265,267,279,116,205,109]"
"2307","3","[230,129,246]","[265,267,279,116,205,109]"
"2307","4","[230,129,246,265]","[267,279,116,205,109]"
"2307","5","[230,129,246,265,267]","[279,116,205,109]"
"2307","6","[230,129,246,265,267,279]","[116,205,109]"
"2307","7","[230,129,246,265,267,279,116]","[205,109]"
"2307","8","[230,129,246,265,267,279,116,205]","[109]"
"2308","1","[111]","[275,206]"
"2308","2","[111,275]","[206]"
"2309","1","[251]","[105,196]"
"2309","2","[251,105]","[196]"
"2311","1","[281]","[168,65,187]"
"2311","2","[281,168]","[65,187]"
"2311","3","[281,168,65]","[187]"
"2314","1","[171]","[221,205,71,3,134,6,127,13,15]"
"2314","2","[171,221]","[205,71,3,134,6,127,13,15]"
"2314","3","[171,221,205]","[71,3,134,6,127,13,15]"
"2314","4","[171,221,205,71]","[3,134,6,127,13,15]"
"2314","5","[171,221,205,71,3]","[134,6,127,13,15]"
"2314","6","[171,221,205,71,3,134]","[6,127,13,15]"
"2314","7","[171,221,205,71,3,134,6]","[127,13,15]"
"2314","8","[171,221,205,71,3,134,6,127]","[13,15]"
"2314","9","[171,221,205,71,3,134,6,127,13]","[15]"
"2315","1","[277]","[73,144,35,34,123,87,140]"
"2315","2","[277,73]","[144,35,34,123,87,140]"
"2315","3","[277,73,144]","[35,34,123,87,140]"
"2315","4","[277,73,144,35]","[34,123,87,140]"
"2315","5","[277,73,144,35,34]","[123,87,140]"
"2315","6","[277,73,144,35,34,123]","[87,140]"
"2315","7","[277,73,144,35,34,123,87]","[140]"
"2316","1","[237]","[231,279]"
"2316","2","[237,231]","[279]"
"2317","1","[240]","[16,33,269,82,267,217]"
"2317","2","[240,16]","[33,269,82,267,217]"
"2317","3","[240,16,33]","[269,82,267,217]"
"2317","4","[240,16,33,269]","[82,267,217]"
"2317","5","[240,16,33,269,82]","[267,217]"
"2317","6","[240,16,33,269,82,267]","[217]"
"2318","1","[240]","[148,190,122,144]"
"2318","2","[240,148]","[190,122,144]"
"2318","3","[240,148,190]","[122,144]"
"2318","4","[240,148,190,122]","[144]"
"2319","1","[128]","[203,267,85,78,75]"
"2319","2","[128,203]","[267,85,78,75]"
"2319","3","[128,203,267]","[85,78,75]"
"2319","4","[128,203,267,85]","[78,75]"
"2319","5","[128,203,267,85,78]","[75]"
"2320","1","[203]","[3,12,129,174,264,42]"
"2320","2","[203,3]","[12,129,174,264,42]"
"2320","3","[203,3,12]","[129,174,264,42]"
"2320","4","[203,3,12,129]","[174,264,42]"
"2320","5","[203,3,12,129,174]","[264,42]"
"2320","6","[203,3,12,129,174,264]","[42]"
"2321","1","[174]","[129,12,203,3]"
"2321","2","[174,129]","[12,203,3]"
"2321","3","[174,129,12]","[203,3]"
"2321","4","[174,129,12,203]","[3]"
"2323","1","[250]","[249]"
"2324","1","[72]","[55,114,78,267,227]"
"2324","2","[72,55]","[114,78,267,227]"
"2324","3","[72,55,114]","[78,267,227]"
"2324","4","[72,55,114,78]","[267,227]"
"2324","5","[72,55,114,78,267]","[227]"
"2325","1","[127]","[111,109,207,234,218,112,81,75,256,239,215,43,12,277,114]"
"2325","2","[127,111]","[109,207,234,218,112,81,75,256,239,215,43,12,277,114]"
"2325","3","[127,111,109]","[207,234,218,112,81,75,256,239,215,43,12,277,114]"
"2325","4","[127,111,109,207]","[234,218,112,81,75,256,239,215,43,12,277,114]"
"2325","5","[127,111,109,207,234]","[218,112,81,75,256,239,215,43,12,277,114]"
"2325","6","[127,111,109,207,234,218]","[112,81,75,256,239,215,43,12,277,114]"
"2325","7","[127,111,109,207,234,218,112]","[81,75,256,239,215,43,12,277,114]"
"2325","8","[127,111,109,207,234,218,112,81]","[75,256,239,215,43,12,277,114]"
"2325","9","[127,111,109,207,234,218,112,81,75]","[256,239,215,43,12,277,114]"
"2325","10","[127,111,109,207,234,218,112,81,75,256]","[239,215,43,12,277,114]"
"2325","11","[127,111,109,207,234,218,112,81,75,256,239]","[215,43,12,277,114]"
"2325","12","[127,111,109,207,234,218,112,81,75,256,239,215]","[43,12,277,114]"
"2325","13","[127,111,109,207,234,218,112,81,75,256,239,215,43]","[12,277,114]"
"2325","14","[127,111,109,207,234,218,112,81,75,256,239,215,43,12]","[277,114]"
"2325","15","[127,111,109,207,234,218,112,81,75,256,239,215,43,12,277]","[114]"
"2326","1","[14]","[60,15,127,156,86]"
"2326","2","[14,60]","[15,127,156,86]"
"2326","3","[14,60,15]","[127,156,86]"
"2326","4","[14,60,15,127]","[156,86]"
"2326","5","[14,60,15,127,156]","[86]"
"2330","1","[203]","[172]"
"2331","1","[177]","[269,80,55,123,205,56,228,130]"
"2331","2","[177,269]","[80,55,123,205,56,228,130]"
"2331","3","[177,269,80]","[55,123,205,56,228,130]"
"2331","4","[177,269,80,55]","[123,205,56,228,130]"
"2331","5","[177,269,80,55,123]","[205,56,228,130]"
"2331","6","[177,269,80,55,123,205]","[56,228,130]"
"2331","7","[177,269,80,55,123,205,56]","[228,130]"
"2331","8","[177,269,80,55,123,205,56,228]","[130]"
"2334","1","[78]","[238]"
"2335","1","[134]","[15]"
"2336","1","[37]","[36]"
"2337","1","[258]","[262,256,257]"
"2337","2","[258,262]","[256,257]"
"2337","3","[258,262,256]","[257]"
"2341","1","[11]","[15,156,98,101]"
"2341","2","[11,15]","[156,98,101]"
"2341","3","[11,15,156]","[98,101]"
"2341","4","[11,15,156,98]","[101]"
"2342","1","[128]","[281]"
"2343","1","[265]","[75,78,14]"
"2343","2","[265,75]","[78,14]"
"2343","3","[265,75,78]","[14]"
"2344","1","[246]","[148]"
"2345","1","[266]","[219]"
"2346","1","[275]","[144]"
"2347","1","[109]","[111]"
"2348","1","[166]","[174]"
"2349","1","[233]","[232,278]"
"2349","2","[233,232]","[278]"
"2350","1","[77]","[244]"
"2351","1","[98]","[79,281,200,72]"
"2351","2","[98,79]","[281,200,72]"
"2351","3","[98,79,281]","[200,72]"
"2351","4","[98,79,281,200]","[72]"
"2352","1","[12]","[274]"
"2353","1","[60]","[116]"
"2355","1","[78]","[12,109]"
"2355","2","[78,12]","[109]"
"2356","1","[173]","[196]"
